ticker,invested_usd,shares,last_price,final_value,p_l,return_%
AAPL,5000.0,22.1804,255.45,5665.9848,665.9848,13.3197
AMZN,5000.0,23.7326,220.63,5236.1175,236.1175,4.7223
BTC-USD,10000.0,0.1043,118648.9297,12378.608,2378.608,23.7861
ETH-USD,7500.0,2.7253,4351.1123,11857.9016,4357.9016,58.1054
GOOGL,5000.0,27.6082,244.9,6761.241,1761.241,35.2248
MSFT,5000.0,11.4054,519.71,5927.4879,927.4879,18.5498
NVDA,12500.0,91.0625,187.24,17050.5495,4550.5495,36.4044
