date,ticker,amount_usd,price,shares,strategy
2024-10-31,AAPL,416.66666666666674,224.86349487304688,1.8529760328678866,Limit_DCA_stocks5_crypto10
2024-10-31,AMZN,416.66666666666674,186.39999389648438,2.2353362677579214,Limit_DCA_stocks5_crypto10
2024-10-31,BTC-USD,833.3333333333335,70215.1875,0.011868277547978257,Limit_DCA_stocks5_crypto10
2024-10-31,ETH-USD,625.0,2515.79931640625,0.2484299903908056,Limit_DCA_stocks5_crypto10
2024-10-31,GOOGL,416.66666666666674,170.35870361328125,2.445819660687904,Limit_DCA_stocks5_crypto10
2024-10-31,MSFT,416.66666666666674,403.3220520019531,1.0330867469271157,Limit_DCA_stocks5_crypto10
2024-10-31,NVDA,1041.6666666666667,132.72193908691406,7.84848890720714,Limit_DCA_stocks5_crypto10
2024-11-29,AAPL,416.66666666666674,236.49046325683594,1.7618751341112384,Limit_DCA_stocks5_crypto10
2024-11-29,AMZN,416.66666666666674,207.88999938964844,2.004265081966295,Limit_DCA_stocks5_crypto10
2024-11-29,GOOGL,416.66666666666674,168.2082061767578,2.477088818299518,Limit_DCA_stocks5_crypto10
2024-11-29,MSFT,416.66666666666674,421.1458435058594,0.9893643095182766,Limit_DCA_stocks5_crypto10
2024-11-29,NVDA,1041.6666666666667,138.2103729248047,7.5368197380771145,Limit_DCA_stocks5_crypto10
2024-11-30,BTC-USD,833.3333333333335,96449.0546875,0.0086401399789078,Limit_DCA_stocks5_crypto10
2024-11-30,ETH-USD,625.0,3705.705322265625,0.16865885051482785,Limit_DCA_stocks5_crypto10
2024-12-17,NVDA,1041.6666666666667,130.36160278320312,7.990594196659292,Limit_DCA_stocks5_crypto10
2024-12-21,ETH-USD,625.0,3337.222412109375,0.18728149425466464,Limit_DCA_stocks5_crypto10
2024-12-31,AAPL,416.66666666666674,249.53416442871094,1.6697780346855216,Limit_DCA_stocks5_crypto10
2024-12-31,AMZN,416.66666666666674,219.38999938964844,1.8992053777558215,Limit_DCA_stocks5_crypto10
2024-12-31,BTC-USD,833.3333333333335,93429.203125,0.008919409622047266,Limit_DCA_stocks5_crypto10
2024-12-31,GOOGL,416.66666666666674,188.68484497070312,2.2082677956004475,Limit_DCA_stocks5_crypto10
2024-12-31,MSFT,416.66666666666674,419.1965637207031,0.9939648907625064,Limit_DCA_stocks5_crypto10
2025-01-16,AAPL,416.66666666666674,227.4525604248047,1.8318838261854424,Limit_DCA_stocks5_crypto10
2025-01-27,NVDA,1041.6666666666667,118.39420318603516,8.798291120975536,Limit_DCA_stocks5_crypto10
2025-01-31,AMZN,416.66666666666674,237.67999267578125,1.753057386008257,Limit_DCA_stocks5_crypto10
2025-01-31,BTC-USD,833.3333333333335,102405.0234375,0.0081376216259736,Limit_DCA_stocks5_crypto10
2025-01-31,ETH-USD,625.0,3298.26513671875,0.18949355921755148,Limit_DCA_stocks5_crypto10
2025-01-31,GOOGL,416.66666666666674,203.35702514648438,2.048941591108194,Limit_DCA_stocks5_crypto10
2025-01-31,MSFT,416.66666666666674,412.791748046875,1.0093871029111554,Limit_DCA_stocks5_crypto10
2025-02-04,ETH-USD,625.0,2735.05126953125,0.22851491193695844,Limit_DCA_stocks5_crypto10
2025-02-07,GOOGL,416.66666666666674,184.7377166748047,2.255449911184777,Limit_DCA_stocks5_crypto10
2025-02-20,AMZN,416.66666666666674,222.8800048828125,1.8694663385607193,Limit_DCA_stocks5_crypto10
2025-02-25,BTC-USD,833.3333333333335,88736.171875,0.009391134592860569,Limit_DCA_stocks5_crypto10
2025-02-28,AAPL,416.66666666666674,241.24948120117188,1.727119430856802,Limit_DCA_stocks5_crypto10
2025-02-28,MSFT,416.66666666666674,395.6121520996094,1.0532200905743567,Limit_DCA_stocks5_crypto10
2025-02-28,NVDA,1041.6666666666667,124.89279174804688,8.340486685317103,Limit_DCA_stocks5_crypto10
2025-03-10,AMZN,416.66666666666674,194.5399932861328,2.1418046727997266,Limit_DCA_stocks5_crypto10
2025-03-10,ETH-USD,625.0,1861.1513671875,0.33581363182967533,Limit_DCA_stocks5_crypto10
2025-03-10,NVDA,1041.6666666666667,106.95669555664062,9.739144064291287,Limit_DCA_stocks5_crypto10
2025-03-11,AAPL,416.66666666666674,220.30076599121094,1.8913536899971104,Limit_DCA_stocks5_crypto10
