ticker,invested_usd,shares,last_price,final_value,p_l,return_%
AAPL,5000.0,22.1907,255.45,5668.6227,668.6227,13.3725
AMZN,5000.0,25.0428,220.63,5525.1848,525.1848,10.5037
BTC-USD,10000.0,0.1283,118648.9297,15228.267,5228.267,52.2827
ETH-USD,7500.0,2.8602,4351.1123,12444.9807,4944.9807,65.9331
GOOGL,5000.0,28.5945,244.9,7002.7894,2002.7894,40.0558
MSFT,5000.0,11.633,519.71,6045.7923,1045.7923,20.9158
NVDA,12500.0,97.3848,187.24,18234.3337,5734.3337,45.8747
