date,ticker,amount_usd,price,shares,strategy
2024-10-31,AAPL,416.66666666666674,224.86349487304688,1.8529760328678866,DCA_only
2024-10-31,AMZN,416.66666666666674,186.39999389648438,2.2353362677579214,DCA_only
2024-10-31,BTC-USD,833.3333333333335,70215.1875,0.011868277547978257,DCA_only
2024-10-31,ETH-USD,625.0,2515.79931640625,0.2484299903908056,DCA_only
2024-10-31,GOOGL,416.66666666666674,170.35870361328125,2.445819660687904,DCA_only
2024-10-31,MSFT,416.66666666666674,403.3220520019531,1.0330867469271157,DCA_only
2024-10-31,NVDA,1041.6666666666667,132.72193908691406,7.84848890720714,DCA_only
2024-11-29,AAPL,416.66666666666674,236.49046325683594,1.7618751341112384,DCA_only
2024-11-29,AMZN,416.66666666666674,207.88999938964844,2.004265081966295,DCA_only
2024-11-29,GOOGL,416.66666666666674,168.2082061767578,2.477088818299518,DCA_only
2024-11-29,MSFT,416.66666666666674,421.1458435058594,0.9893643095182766,DCA_only
2024-11-29,NVDA,1041.6666666666667,138.2103729248047,7.5368197380771145,DCA_only
2024-11-30,BTC-USD,833.3333333333335,96449.0546875,0.0086401399789078,DCA_only
2024-11-30,ETH-USD,625.0,3705.705322265625,0.16865885051482785,DCA_only
2024-12-31,AAPL,416.66666666666674,249.53416442871094,1.6697780346855216,DCA_only
2024-12-31,AMZN,416.66666666666674,219.38999938964844,1.8992053777558215,DCA_only
2024-12-31,BTC-USD,833.3333333333335,93429.203125,0.008919409622047266,DCA_only
2024-12-31,ETH-USD,625.0,3332.53173828125,0.18754510056739718,DCA_only
2024-12-31,GOOGL,416.66666666666674,188.68484497070312,2.2082677956004475,DCA_only
2024-12-31,MSFT,416.66666666666674,419.1965637207031,0.9939648907625064,DCA_only
2024-12-31,NVDA,1041.6666666666667,134.26075744628906,7.758534112869018,DCA_only
2025-01-31,AAPL,416.66666666666674,235.16519165039062,1.7718041677107814,DCA_only
2025-01-31,AMZN,416.66666666666674,237.67999267578125,1.753057386008257,DCA_only
2025-01-31,BTC-USD,833.3333333333335,102405.0234375,0.0081376216259736,DCA_only
2025-01-31,ETH-USD,625.0,3298.26513671875,0.18949355921755148,DCA_only
2025-01-31,GOOGL,416.66666666666674,203.35702514648438,2.048941591108194,DCA_only
2025-01-31,MSFT,416.66666666666674,412.791748046875,1.0093871029111554,DCA_only
2025-01-31,NVDA,1041.6666666666667,120.04385375976562,8.677384422789965,DCA_only
2025-02-28,AAPL,416.66666666666674,241.24948120117188,1.727119430856802,DCA_only
2025-02-28,AMZN,416.66666666666674,212.27999877929688,1.9628164172917038,DCA_only
2025-02-28,BTC-USD,833.3333333333335,84373.0078125,0.009876776411541818,DCA_only
2025-02-28,ETH-USD,625.0,2237.9052734375,0.27927902374526264,DCA_only
2025-02-28,GOOGL,416.66666666666674,169.72665405273438,2.4549277129873053,DCA_only
2025-02-28,MSFT,416.66666666666674,395.6121520996094,1.0532200905743567,DCA_only
2025-02-28,NVDA,1041.6666666666667,124.89279174804688,8.340486685317103,DCA_only
2025-03-31,AAPL,416.66666666666674,221.58761596679688,1.8803698250406777,DCA_only
2025-03-31,AMZN,416.66666666666674,190.25999450683594,2.1899856969232494,DCA_only
2025-03-31,BTC-USD,833.3333333333335,82548.9140625,0.01009502478375905,DCA_only
2025-03-31,ETH-USD,625.0,1823.47998046875,0.3427512266075635,DCA_only
2025-03-31,GOOGL,416.66666666666674,154.31500244140625,2.700104721346688,DCA_only
2025-03-31,MSFT,416.66666666666674,374.087158203125,1.1138224275542268,DCA_only
2025-03-31,NVDA,1041.6666666666667,108.36636352539062,9.612453835110934,DCA_only
